PT625_1,PT621_1,PT620_1,PT616_1,PT612_1,TE607_1,TE604_1,TE603_1,PT625_2,PT621_2,PT620_2,PT616_2,PT612_2,TE607_2,TE604_2,TE603_2,ITS1,ITS2,ITS3,ITS4,ITS5
20.89921875,14.47977842,4.685734566,61.1,51.896875,226.496875,222.1,219.3875,20.899285359843702,14.479778881498484,4.685734715343404,61.09999805262508,51.89670959464328,226.4975968892545,222.1007078755653,219.38819923030428,1.0,1.0,1.0,1.0,1.0
19.996875,14.47977842,4.786637692,61.3921875,52.0,226.496875,222.1,219.584375,19.99694733178439,14.479778943755942,4.786637865140076,61.39218527934979,51.9998119079712,226.49769427416797,222.10080336999224,219.5851692705882,1.0,1.0,1.0,1.0,1.0
20.5984375,14.378875299999999,4.786637692,59.79375,52.09882813,226.78125,222.1,219.584375,20.59852173130777,14.378875887982204,4.7866378877356,59.79374755490883,52.098615087023965,226.7821773558378,222.10090821323004,219.58527292631467,1.0,1.0,1.0,1.0,1.0
20.1,14.378875299999999,4.685734566,61.19453125,52.39960938,226.78125,222.1,219.3875,20.100092580945724,14.378875962293467,4.685734781825739,61.19452843136936,52.399368026497925,226.78229455833815,222.10102299642014,219.38851050259848,1.0,1.0,1.0,1.0,1.0
19.4984375,14.378875299999999,4.786637692,60.89375,51.49726563,226.78125,222.1,219.584375,19.498538313227673,14.378876043434351,4.786637939484648,60.89374685159619,51.49699937248248,226.7824225324036,222.10114832882715,219.58551032223235,1.0,1.0,1.0,1.0,1.0
19.59726563,14.28011905,4.786637692,60.79921875,52.0,226.496875,222.384375,219.3875,19.597378999241002,14.280119876098032,4.786637968904693,60.79921523279438,51.999699182496,226.49818527355004,222.38566148293495,219.3887691461569,1.0,1.0,1.0,1.0,1.0
20.1,14.47977842,4.786637692,61.1,51.79804688,226.496875,222.1,219.3875,20.10012970146894,14.479779354352504,4.786638000872607,61.099996057333456,51.79771263707619,226.49833654116404,222.10143316896773,219.3889156657222,1.0,1.0,1.0,1.0,1.0
19.79921875,14.378875299999999,4.786637692,61.19453125,52.29648438,226.78125,222.1,219.584375,19.799360846688344,14.378876331955142,4.786638035531416,61.19452685813972,52.29610905421892,226.78287758263394,222.1015939858476,219.58595093149975,1.0,1.0,1.0,1.0,1.0
19.59726563,14.28011905,4.786637692,60.19765625,52.29648438,226.496875,222.384375,219.584375,19.597421629020065,14.280120186732347,4.786638073028049,60.197651458119566,52.296068087213534,226.49867797043552,222.38614523393127,219.5861229452475,1.0,1.0,1.0,1.0,1.0
20.79609375,14.57853468,4.786637692,60.79921875,51.59609375,226.190625,222.384375,219.584375,20.796276881283315,14.578535963791946,4.786638113513345,60.799213395995025,51.59563939261077,226.19261684423424,222.38633332623533,219.58630866931662,1.0,1.0,1.0,1.0,1.0
20.5984375,14.378875299999999,4.885393943,61.1,52.09882813,226.496875,222.384375,219.584375,20.59863766554299,14.378876697268787,4.885394417738694,61.099994062600786,52.09832185906456,226.4990759858743,222.38653602261033,219.5865088135795,1.0,1.0,1.0,1.0,1.0
20.49960938,14.28011905,4.885393943,61.1,52.69609375,227.0,222.384375,219.584375,20.49982868409136,14.280120577682052,4.885394465637705,61.099993463543754,52.695530009065045,227.00242843791878,222.38675406012686,219.5867241058265,1.0,1.0,1.0,1.0,1.0
19.09882813,14.378875299999999,4.885393943,61.3921875,52.59726563,227.0,222.1,219.584375,19.099052556482853,14.378876989632676,4.885394517072804,61.39218028592769,52.596647570124674,227.0026674312822,222.10260985236903,219.58695529176632,1.0,1.0,1.0,1.0,1.0
